Timestamp,Time,Date,Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
27-08-2014 11:29,11:29 AM,27-08-2014,37,Female,United States,Not specified,No,Yes,Often,Jun-25,No,Yes,Yes,Not sure,No,Yes,Yes,Somewhat easy,No,No,Some of them,Yes,No,Maybe,Yes,No
27-08-2014 11:29,11:29 AM,27-08-2014,44,Male,United States,Not specified,No,No,Rarely,More than 1000,No,No,Don't know,No,Don't know,Don't know,Don't know,Don't know,Maybe,No,No,No,No,No,Don't know,No
27-08-2014 11:29,11:29 AM,27-08-2014,32,Male,Canada,Not specified,No,No,Rarely,Jun-25,No,Yes,No,No,No,No,Don't know,Somewhat difficult,No,No,Yes,Yes,Yes,Yes,No,No
27-08-2014 11:29,11:29 AM,27-08-2014,31,Male,United Kingdom,Not specified,Yes,Yes,Often,26-100,No,Yes,No,Yes,No,No,No,Somewhat difficult,Yes,Yes,Some of them,No,Maybe,Maybe,No,Yes
27-08-2014 11:30,11:30 AM,27-08-2014,31,Male,United States,Not specified,No,No,Never,100-500,Yes,Yes,Yes,No,Don't know,Don't know,Don't know,Don't know,No,No,Some of them,Yes,Yes,Yes,Don't know,No
27-08-2014 11:31,11:31 AM,27-08-2014,33,Male,United States,Not specified,Yes,No,Sometimes,Jun-25,No,Yes,Yes,Not sure,No,Don't know,Don't know,Don't know,No,No,Yes,Yes,No,Maybe,Don't know,No
27-08-2014 11:31,11:31 AM,27-08-2014,35,Female,United States,Not specified,Yes,Yes,Sometimes,01-May,Yes,Yes,No,No,No,No,No,Somewhat difficult,Maybe,Maybe,Some of them,No,No,No,Don't know,No
27-08-2014 11:32,11:32 AM,27-08-2014,39,Male,Canada,Not specified,No,No,Never,01-May,Yes,Yes,No,Yes,No,No,Yes,Don't know,No,No,No,No,No,No,No,No
27-08-2014 11:32,11:32 AM,27-08-2014,42,Female,United States,Not specified,Yes,Yes,Sometimes,100-500,No,Yes,Yes,Yes,No,No,No,Very difficult,Maybe,No,Yes,Yes,No,Maybe,No,No
27-08-2014 11:32,11:32 AM,27-08-2014,23,Male,Canada,Not specified,No,No,Never,26-100,No,Yes,Don't know,No,Don't know,Don't know,Don't know,Don't know,No,No,Yes,Yes,Maybe,Maybe,Yes,No
